address_name,category_group_name,category_name,phone,place_name,place_url,road_address_name,x,y
지번:서울 중구 만리동2가 6-1,문화시설,"문화,예술 > 문화시설 > 기념관",전화번호:02-364-1936,장소이름:손기정기념관,웹링크:http://place.map.kakao.com/18478789,도로명주소:서울 중구 손기정로 101-4,경도:126.96464679169269,위도:37.55569082707682
지번:서울 중구 중림동 149-83,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",전화번호:02-393-2213,장소이름:가톨릭 성음악아카데미 최양업홀,웹링크:http://place.map.kakao.com/17358734,도로명주소:서울 중구 청파로 447-1,경도:126.96772150332816,위도:37.55882087140542
지번:서울 중구 충정로1가 85,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",전화번호:02-766-7848,장소이름:페인터즈 서대문 전용관 (NH아트홀),웹링크:http://place.map.kakao.com/1465081202,도로명주소:서울 중구 통일로 120,경도:126.96757701216109,위도:37.56578553521637
지번:서울 중구 충정로1가 75-1,문화시설,"문화,예술 > 문화시설 > 박물관",전화번호:02-2080-5727,장소이름:농업박물관,웹링크:http://place.map.kakao.com/8226363,도로명주소:서울 중구 새문안로 16,경도:126.968329319115,위도:37.5667299831859
지번:서울 중구 충정로1가 68,문화시설,"문화,예술 > 영화,영상 > 영화관",전화번호:02-739-5423,장소이름:청춘극장,웹링크:http://place.map.kakao.com/13498855,도로명주소:서울 중구 새문안로 22,경도:126.968664210245,위도:37.5670940748742
지번:서울 중구 충정로1가 68,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",전화번호:02-3701-5832,장소이름:문화일보홀,웹링크:http://place.map.kakao.com/8987923,도로명주소:서울 중구 새문안로 22,경도:126.968646123861,위도:37.567036406339
지번:서울 중구 충정로1가 81-3,문화시설,"문화,예술 > 문화시설 > 박물관",전화번호:02-2080-5727,장소이름:농협중앙회 쌀박물관,웹링크:http://place.map.kakao.com/17059143,도로명주소:서울 중구 새문안로 16,경도:126.96778386357435,위도:37.56644602189297
지번:서울 중구 충정로1가 58-3,문화시설,"문화,예술 > 문화시설 > 미술관",전화번호:02-767-1621,장소이름:아주갤러리,웹링크:http://place.map.kakao.com/17066572,도로명주소:서울 중구 새문안로 26,경도:126.968804413732,위도:37.5674617182909
지번:서울 중구 봉래동2가 122-28,문화시설,"문화,예술 > 문화시설 > 전시관",전화번호:02-3407-3500,장소이름:문화역서울284,웹링크:http://place.map.kakao.com/27299118,도로명주소:서울 중구 통일로 1,경도:126.97162727684288,위도:37.55587561333548
지번:서울 중구 봉래동2가 122-28,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",전화번호:02-3407-3500,장소이름:문화역서울284 RTO공연장,웹링크:http://place.map.kakao.com/139067352,도로명주소:서울 중구 통일로 1,경도:126.971597848869,위도:37.5558828142407
