title,keyword,X,Y,road_address,place_url
장소이름:적당,음식점,경도:126.9810407,위도:37.56646421,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/1345866783
장소이름:규반,음식점,경도:126.9810248,위도:37.56648764,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/929573153
장소이름:타우너스 을지로점,음식점,경도:126.981018,위도:37.56648223,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/7423689
장소이름:온점 을지로점,음식점,경도:126.9810248,위도:37.56648854,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/1420731397
장소이름:오름카츠 명동점,음식점,경도:126.9810248,위도:37.56648764,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/1785445574
장소이름:만당,음식점,경도:126.9810475,위도:37.56646602,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/8971419
장소이름:구스타레 이탈리안레스토랑,음식점,경도:126.9810248,위도:37.56648764,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/12592334
장소이름:오티디코퍼레이션디스트릭,음식점,경도:126.9810248,위도:37.56648854,도로명주소:서울 중구 을지로1가 87,웹링크:http://place.map.kakao.com/60552199
장소이름:을밀대 무교점,음식점,경도:126.9803682,위도:37.5670966,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/34535267
장소이름:전설의우대갈비 서울시청직영점,음식점,경도:126.9803681,위도:37.56714345,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/1116506145
장소이름:동아리 무교점,음식점,경도:126.980341,위도:37.56713984,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/19281659
장소이름:뚜레쥬르 무교점,음식점,경도:126.9801044,위도:37.56723891,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/1832574725
장소이름:담비곱창,음식점,경도:126.9802572,위도:37.5670227,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/1055445422
장소이름:돈수백 서울시청점,음식점,경도:126.9803681,위도:37.56714345,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/15217186
장소이름:대독장,음식점,경도:126.9803387,위도:37.56713984,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/1290648087
장소이름:본죽&비빔밥cafe 서울시청점,음식점,경도:126.9803614,위도:37.56713985,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/2055127363
장소이름:이지샐러드 시청점,음식점,경도:126.9803727,위도:37.56714886,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/1930862365
장소이름:부추밭 무교점,음식점,경도:126.9803387,위도:37.56711281,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/21235570
장소이름:쭈담 시청직영점,음식점,경도:126.9805005,위도:37.56725069,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/1708957397
장소이름:바나프레소 무교점,음식점,경도:126.9801588,위도:37.56703079,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/637723178
장소이름:명동칼국수샤브샤브,음식점,경도:126.980341,위도:37.56713984,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/23641702
장소이름:에슬로우커피 시청점,음식점,경도:126.9802708,위도:37.5670209,도로명주소:서울 중구 다동 155,웹링크:http://place.map.kakao.com/1034753881
